feature_id,title,description,domain,geo_country,geo_state,age_min,age_max,data_practices,addictive_features,safety_controls,label,rationale,implicated_regs,risk_tags,source_seed,confidence_score,generation_timestamp
"GEN-0010","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","France","None","13","18","contact_lists; conversation_history; message_content","","parental_oversight; message_filtering","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","child_targeting; high_risk_feature","template_messaging","0.83","2025-08-30T17:04:46.122700"
"GEN-0011","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","USA","California","18","25","comment_analysis; report_history; behavioral_patterns","","age_verification; content_filtering; automatic_intervention; counseling_resources","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","","template_safety","0.72","2025-08-30T17:04:46.122719"
"GEN-0012","Personalized Study Feed","AI-curated educational content based on learning preferences and academic interests","recommendations","Germany","None","16","18","time_spent_learning; educational_preferences; quiz_results","","user_controls; age_verification; content_filtering; time_limits","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","minor_targeting","template_recommendations","0.71","2025-08-30T17:04:46.122739"
"GEN-0013","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","France","None","16","18","visit_history; local_preferences; location_data","","location_controls; age_verification; user_controls; content_filtering","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","minor_targeting; privacy_risk","template_advertising","0.81","2025-08-30T17:04:46.122759"
"GEN-0014","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","France","None","13","18","group_membership; admin_actions; shared_content","group_dynamics; variable_rewards; infinite_scroll; social_pressure","group_moderation; reporting_tools","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk","template_messaging","0.77","2025-08-30T17:04:46.122774"
"GEN-0015","Live Stream Discovery","Real-time promotion of live streams based on user interests and social connections","live_streaming","USA","California","14","17","creator_follows; interaction_patterns; live_viewing_history","live_notifications; fomo_triggers","age_verification","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","minor_targeting; high_risk_feature","template_live_streaming","0.73","2025-08-30T17:04:46.122788"
"GEN-0016","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","USA","California","14","16","content_preferences; age_verification_data","variable_rewards; infinite_scroll; push_notifications","strict_age_verification","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","minor_targeting; addiction_risk","template_live_streaming","0.71","2025-08-30T17:04:46.122810"
"GEN-0017","Personalized Study Feed","AI-curated educational content based on learning preferences and academic interests","recommendations","France","None","16","18","time_spent_learning; educational_preferences; quiz_results","social_pressure; infinite_scroll; push_notifications","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk","template_recommendations","0.84","2025-08-30T17:04:46.122831"
"GEN-0018","Personalized Study Feed","AI-curated educational content based on learning preferences and academic interests","recommendations","USA","Florida","21","65","time_spent_learning; educational_preferences; quiz_results","social_pressure; push_notifications","user_controls; age_verification; content_filtering; time_limits","Partially Compliant","Partial compliance: 1 violations mitigated by time_limits","US-FL","addiction_risk","template_recommendations","0.9","2025-08-30T17:04:46.122854"
"GEN-0019","Personalized Study Feed","AI-curated educational content based on learning preferences and academic interests","recommendations","USA","California","18","65","time_spent_learning; educational_preferences; quiz_results","social_pressure; push_notifications","parental_controls; user_controls; content_filtering; time_limits; age_verification","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","addiction_risk","template_recommendations","0.94","2025-08-30T17:04:46.122876"
"GEN-0020","Data Download Portal","User interface for requesting and downloading personal data archives","privacy","France","None","18","25","data_access_logs; download_history","variable_rewards; infinite_scroll; social_pressure; push_notifications","identity_verification","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk","template_privacy","0.75","2025-08-30T17:04:46.122898"
"GEN-0021","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","USA","Florida","14","17","visit_history; local_preferences; location_data","","location_controls","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group","US-FL","minor_targeting; privacy_risk","template_advertising","0.78","2025-08-30T17:04:46.122912"
"GEN-0022","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","USA","California","18","65","contact_lists; conversation_history; message_content","","parental_controls; message_filtering; content_filtering; parental_oversight; age_verification","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","high_risk_feature","template_messaging","0.75","2025-08-30T17:04:46.122932"
"GEN-0023","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","France","None","16","18","content_preferences; age_verification_data","social_pressure; variable_rewards; infinite_scroll; push_notifications","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk","template_live_streaming","0.81","2025-08-30T17:04:46.122953"
"GEN-0024","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","USA","Florida","13","18","purchase_history; demographic_data; browsing_behavior","targeted_advertising","ad_transparency","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida)","US-FL","child_targeting","template_advertising","0.85","2025-08-30T17:04:46.122966"
"GEN-0025","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","France","None","14","17","friend_activity; social_connections; interaction_history","real_time_updates; social_validation","privacy_controls","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","minor_targeting","template_recommendations","0.83","2025-08-30T17:04:46.122981"
"GEN-0026","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","USA","California","18","65","payment_info; spending_patterns; gifting_history","virtual_economy","parental_controls; user_controls; content_filtering; spending_limits; age_verification","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","high_risk_feature","template_live_streaming","0.91","2025-08-30T17:04:46.123002"
"GEN-0027","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","USA","California","13","17","privacy_preferences; settings_history","social_pressure; variable_rewards; push_notifications","default_private_settings","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","child_targeting; addiction_risk","template_privacy","0.83","2025-08-30T17:04:46.123024"
"GEN-0028","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","Netherlands","None","18","25","privacy_preferences; settings_history","social_pressure; variable_rewards; infinite_scroll; push_notifications","default_private_settings","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk","template_privacy","0.76","2025-08-30T17:04:46.123046"
"GEN-0029","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","Germany","None","16","18","comment_analysis; report_history; behavioral_patterns","","automatic_intervention; counseling_resources","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","minor_targeting","template_safety","0.84","2025-08-30T17:04:46.123061"
"GEN-0030","Viral Trend Recommendations","Algorithm that promotes trending content and challenges to maximize engagement","recommendations","Netherlands","None","13","15","engagement_patterns; social_graph; viral_participation","social_pressure; algorithmic_ranking; push_notifications","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk","template_recommendations","0.91","2025-08-30T17:04:46.123082"
"GEN-0031","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","USA","Florida","13","18","friend_activity; social_connections; interaction_history","real_time_updates; social_validation","privacy_controls","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida)","US-FL","child_targeting","template_recommendations","0.94","2025-08-30T17:04:46.123096"
"GEN-0032","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","USA","California","18","25","payment_info; spending_patterns; gifting_history","virtual_economy","parental_controls; spending_limits","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","high_risk_feature","template_live_streaming","0.73","2025-08-30T17:04:46.123112"
"GEN-0033","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","USA","Florida","14","17","group_membership; admin_actions; shared_content","group_dynamics; variable_rewards; infinite_scroll; social_pressure","group_moderation; reporting_tools","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group; Uses addictive feature: infinite_scroll; Uses addictive feature: variable_rewards","US-FL","minor_targeting; addiction_risk","template_messaging","0.89","2025-08-30T17:04:46.123129"
"GEN-0034","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","France","None","14","17","visit_history; local_preferences; location_data","","location_controls","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","minor_targeting; privacy_risk","template_advertising","0.84","2025-08-30T17:04:46.123143"
"GEN-0035","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","USA","Florida","18","25","comment_analysis; report_history; behavioral_patterns","","automatic_intervention; counseling_resources","Compliant","Feature meets all Florida Online Protections for Minors (HB 3) requirements","US-FL","","template_safety","0.93","2025-08-30T17:04:46.123156"
"GEN-0036","Automatic Data Deletion","Scheduled deletion of user data after specified retention periods","privacy","USA","California","14","17","deletion_logs; retention_schedules","","user_notification; recovery_period","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","minor_targeting","template_privacy","0.87","2025-08-30T17:04:46.123170"
"GEN-0037","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","USA","Florida","18","25","content_preferences; age_verification_data","social_pressure; variable_rewards; infinite_scroll; push_notifications","strict_age_verification; content_warnings","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications; Uses addictive feature: variable_rewards","US-FL","addiction_risk","template_live_streaming","0.91","2025-08-30T17:04:46.123184"
"GEN-0038","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","Germany","None","18","25","payment_info; spending_patterns; gifting_history","virtual_economy","parental_controls; spending_limits","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","high_risk_feature","template_live_streaming","0.92","2025-08-30T17:04:46.123199"
"GEN-0039","Social Proof Metrics","Public display of likes; shares; and follower counts to drive engagement","growth","USA","Florida","14","17","engagement_metrics; social_validation_data","public_metrics; variable_rewards; social_validation; push_notifications","hide_metrics_option","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group; Uses addictive feature: push_notifications; Uses addictive feature: public_metrics and 1 other issues","US-FL","minor_targeting; addiction_risk","template_growth","0.76","2025-08-30T17:04:46.123214"
"GEN-0040","Viral Trend Recommendations","Algorithm that promotes trending content and challenges to maximize engagement","recommendations","USA","California","13","18","engagement_patterns; social_graph; viral_participation","social_pressure; algorithmic_ranking; push_notifications","","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","child_targeting; addiction_risk","template_recommendations","0.84","2025-08-30T17:04:46.123228"
"GEN-0041","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","USA","Florida","18","25","content_preferences; age_verification_data","social_pressure; variable_rewards; infinite_scroll; push_notifications","strict_age_verification; content_warnings","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications; Uses addictive feature: variable_rewards","US-FL","addiction_risk","template_live_streaming","0.75","2025-08-30T17:04:46.123242"
"GEN-0042","Social Proof Metrics","Public display of likes; shares; and follower counts to drive engagement","growth","USA","Florida","13","18","engagement_metrics; social_validation_data","public_metrics; variable_rewards; social_validation; push_notifications","hide_metrics_option","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida); Uses addictive feature: push_notifications; Uses addictive feature: public_metrics and 1 other issues","US-FL","child_targeting; addiction_risk","template_growth","0.72","2025-08-30T17:04:46.123257"
"GEN-0043","Infinite Scroll for Shorts","Continuous video feed with infinite scrolling for seamless content discovery","recommendations","USA","California","16","18","engagement_patterns; device_info; viewing_history","autoplay; infinite_scroll","","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","minor_targeting; addiction_risk; high_risk_feature","template_recommendations","0.7","2025-08-30T17:04:46.123271"
"GEN-0044","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","Germany","None","13","18","comment_analysis; report_history; behavioral_patterns","","automatic_intervention; counseling_resources","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","child_targeting","template_safety","0.79","2025-08-30T17:04:46.123285"
"GEN-0045","Daily Login Streaks","Reward system for consecutive daily app usage with escalating benefits","growth","Germany","None","18","25","login_patterns; streak_data; reward_history","loss_aversion; habit_formation; escalating_rewards","","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","high_risk_feature","template_growth","0.81","2025-08-30T17:04:46.123300"
"GEN-0046","Viral Trend Recommendations","Algorithm that promotes trending content and challenges to maximize engagement","recommendations","USA","Florida","14","17","engagement_patterns; social_graph; viral_participation","social_pressure; algorithmic_ranking; push_notifications","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group; Uses addictive feature: push_notifications","US-FL","minor_targeting; addiction_risk","template_recommendations","0.75","2025-08-30T17:04:46.123314"
"GEN-0047","Gamified Achievement System","Points; badges; and levels to incentivize platform engagement","growth","USA","Florida","18","25","achievement_progress; engagement_metrics; competition_data","gamification; variable_rewards; social_competition","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: variable_rewards","US-FL","addiction_risk; high_risk_feature","template_growth","0.78","2025-08-30T17:04:46.123328"
"GEN-0048","Automatic Data Deletion","Scheduled deletion of user data after specified retention periods","privacy","Germany","None","18","25","deletion_logs; retention_schedules","","user_notification; recovery_period","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","","template_privacy","0.78","2025-08-30T17:04:46.123341"
"GEN-0049","Crisis Intervention Alerts","System to detect self-harm content and provide mental health resources","safety","USA","California","18","25","intervention_logs; content_analysis; resource_engagement","","immediate_support; professional_referrals","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","","template_safety","0.9","2025-08-30T17:04:46.123355"
